Principal Component Analysis Training Time,Principal Component Analysis Training Accuracy,Principal Component Analysis Testing Accuracy,Independent Component Analysis Training Time,Independent Component Analysis Training Accuracy,Independent Component Analysis Testing Accuracy,Random Projection Filter Training Time,Random Projection Filter Training Accuracy,Random Projection Filter Testing Accuracy,Insignificant Component Analysis Training Time,Insignificant Component Analysis Training Accuracy,Insignificant Component Analysis Testing Accuracy,Unfiltered Training Time,Unfiltered Training Accuracy,Unfiltered Testing Accuracy
10,0.076919744, 87.13826366559485, 65.38461538461539, 0.021514165, 80.38585209003215, 29.48717948717949, 0.009797634, 86.49517684887459, 74.35897435897436, 0.010155809, 87.45980707395499, 38.46153846153847, 0.00854281, 87.78135048231512, 71.7948717948718
25,0.01814435, 93.89067524115757, 41.02564102564102, 0.017864252, 94.85530546623794, 32.05128205128205, 0.016088676, 92.60450160771704, 43.58974358974359, 0.016286827, 93.89067524115757, 65.38461538461539, 0.015798469, 95.17684887459808, 34.61538461538461
50,0.031829249, 96.46302250803859, 34.61538461538461, 0.032392881, 98.39228295819936, 33.33333333333333, 0.031487029, 96.78456591639872, 35.8974358974359, 0.032081176, 97.10610932475883, 33.33333333333333, 0.031567373, 98.39228295819936, 33.33333333333333
100,0.062068624, 97.7491961414791, 34.61538461538461, 0.062621273, 99.03536977491962, 55.12820512820513, 0.076447542, 98.71382636655949, 35.8974358974359, 0.063012886, 97.7491961414791, 55.12820512820513, 0.062849924, 98.39228295819936, 37.17948717948718
250,0.154918382, 99.35691318327974, 35.8974358974359, 0.156010895, 100.0, 26.923076923076923, 0.156714778, 99.67845659163987, 42.30769230769231, 0.187275255, 99.67845659163987, 32.05128205128205, 0.15547692, 99.03536977491962, 34.61538461538461
500,0.314948991, 100.0, 38.46153846153847, 0.307941603, 99.35691318327974, 34.61538461538461, 0.309594467, 100.0, 26.923076923076923, 0.308199323, 99.35691318327974, 33.33333333333333, 0.306269533, 99.35691318327974, 35.8974358974359
1000,0.623206361, 100.0, 35.8974358974359, 0.629204147, 100.0, 34.61538461538461, 0.610238554, 100.0, 35.8974358974359, 0.681084749, 100.0, 42.30769230769231, 0.615314969, 100.0, 48.717948717948715
2500,1.56221315, 100.0, 33.33333333333333, 1.549057816, 100.0, 39.743589743589745, 1.568204625, 100.0, 34.61538461538461, 1.542291515, 100.0, 38.46153846153847, 1.553103639, 100.0, 34.61538461538461
5000,3.111170284, 100.0, 46.15384615384615, 3.073442222, 100.0, 35.8974358974359, 3.091202602, 100.0, 69.23076923076923, 3.077011311, 100.0, 37.17948717948718, 3.09457783, 99.67845659163987, 47.43589743589743
10000,6.219522405, 100.0, 29.48717948717949, 6.231466756, 100.0, 42.30769230769231, 6.369236674, 100.0, 33.33333333333333, 6.53894346, 100.0, 28.205128205128204, 6.487602614, 100.0, 30.76923076923077
