Principal Component Analysis Training Time,Principal Component Analysis Training Accuracy,Principal Component Analysis Testing Accuracy,Independent Component Analysis Training Time,Independent Component Analysis Training Accuracy,Independent Component Analysis Testing Accuracy,Random Projection Filter Training Time,Random Projection Filter Training Accuracy,Random Projection Filter Testing Accuracy,Insignificant Component Analysis Training Time,Insignificant Component Analysis Training Accuracy,Insignificant Component Analysis Testing Accuracy,Unfiltered Training Time,Unfiltered Training Accuracy,Unfiltered Testing Accuracy
10,0.147026746, 86.49517684887459, 83.33333333333334, 0.036636526, 75.2411575562701, 64.1025641025641, 0.010171543, 91.96141479099678, 88.46153846153845, 0.010527108, 79.42122186495176, 80.76923076923077, 0.010395459, 73.95498392282958, 64.1025641025641
25,0.019288829, 91.63987138263666, 91.02564102564102, 0.026476343, 89.71061093247589, 88.46153846153845, 0.016929919, 93.2475884244373, 87.17948717948718, 0.022570956, 89.71061093247589, 85.8974358974359, 0.01664383, 90.35369774919614, 84.61538461538461
50,0.033152279, 96.14147909967846, 91.02564102564102, 0.033219616, 95.81993569131832, 94.87179487179486, 0.032668188, 95.17684887459808, 96.15384615384616, 0.032774733, 96.46302250803859, 92.3076923076923, 0.032885663, 96.14147909967846, 92.3076923076923
100,0.065586725, 97.10610932475883, 93.58974358974359, 0.087125948, 97.42765273311898, 94.87179487179486, 0.066596004, 97.10610932475883, 94.87179487179486, 0.085743346, 97.7491961414791, 93.58974358974359, 0.085811685, 97.42765273311898, 92.3076923076923
250,0.216009711, 97.10610932475883, 96.15384615384616, 0.222332622, 98.39228295819936, 93.58974358974359, 0.219040329, 99.03536977491962, 96.15384615384616, 0.218721128, 98.71382636655949, 97.43589743589743, 0.218638896, 97.10610932475883, 92.3076923076923
500,0.43689794, 99.03536977491962, 93.58974358974359, 0.439094692, 99.35691318327974, 97.43589743589743, 0.438572157, 99.67845659163987, 97.43589743589743, 0.451828698, 99.67845659163987, 96.15384615384616, 0.439294616, 99.35691318327974, 94.87179487179486
1000,0.873324928, 99.67845659163987, 96.15384615384616, 0.829581814, 99.67845659163987, 98.71794871794873, 0.652139035, 99.67845659163987, 96.15384615384616, 0.663035696, 99.67845659163987, 96.15384615384616, 0.648677697, 99.35691318327974, 97.43589743589743
2500,1.652427647, 100.0, 89.74358974358975, 1.609513059, 99.67845659163987, 94.87179487179486, 1.619553371, 100.0, 92.3076923076923, 1.62201141, 100.0, 92.3076923076923, 1.621663366, 99.67845659163987, 89.74358974358975
5000,3.270110226, 100.0, 87.17948717948718, 3.292595862, 100.0, 92.3076923076923, 3.254130395, 100.0, 92.3076923076923, 3.283681746, 100.0, 88.46153846153845, 3.269724334, 100.0, 92.3076923076923
10000,6.569348534, 100.0, 92.3076923076923, 6.526255641, 100.0, 89.74358974358975, 6.498716862, 100.0, 91.02564102564102, 6.574289125, 100.0, 89.74358974358975, 6.53920608, 100.0, 93.58974358974359
